CMDLINE python python/solution_pandas_compressed.py
MEM 1.105469 1614531050.9581
MEM 19.925781 1614531051.0585
MEM 40.824219 1614531051.1588
MEM 54.230469 1614531051.2593
MEM 63.445312 1614531051.3596
MEM 88.414062 1614531051.4600
MEM 89.445312 1614531051.5603
MEM 89.703125 1614531051.6607
MEM 90.992188 1614531051.7610
MEM 92.281250 1614531051.8614
MEM 93.570312 1614531051.9617
MEM 94.601562 1614531052.0620
MEM 95.890625 1614531052.1623
MEM 96.921875 1614531052.2627
MEM 98.210938 1614531052.3630
MEM 99.500000 1614531052.4634
MEM 100.531250 1614531052.5637
MEM 101.820312 1614531052.6641
MEM 103.367188 1614531052.7644
MEM 104.914062 1614531052.8648
MEM 105.945312 1614531052.9651
MEM 107.234375 1614531053.0655
MEM 108.523438 1614531053.1658
MEM 109.554688 1614531053.2662
MEM 110.585938 1614531053.3665
MEM 111.101562 1614531053.4667
MEM 112.390625 1614531053.5671
MEM 113.421875 1614531053.6674
MEM 114.968750 1614531053.7677
MEM 117.031250 1614531053.8681
MEM 117.031250 1614531053.9684
MEM 118.320312 1614531054.0687
MEM 119.609375 1614531054.1690
MEM 120.640625 1614531054.2693
MEM 120.640625 1614531054.3697
MEM 121.929688 1614531054.4700
MEM 121.929688 1614531054.5703
MEM 122.960938 1614531054.6707
MEM 124.250000 1614531054.7710
MEM 125.539062 1614531054.8713
MEM 126.570312 1614531054.9717
MEM 126.570312 1614531055.0720
MEM 127.859375 1614531055.1723
MEM 129.148438 1614531055.2726
MEM 130.179688 1614531055.3730
MEM 131.468750 1614531055.4734
MEM 132.500000 1614531055.5737
MEM 133.789062 1614531055.6740
MEM 134.820312 1614531055.7743
MEM 135.851562 1614531055.8747
MEM 137.140625 1614531055.9750
MEM 137.140625 1614531056.0754
MEM 138.171875 1614531056.1758
MEM 139.203125 1614531056.2761
MEM 140.492188 1614531056.3764
MEM 141.523438 1614531056.4768
MEM 142.554688 1614531056.5771
MEM 143.585938 1614531056.6775
MEM 144.875000 1614531056.7778
MEM 145.906250 1614531056.8782
MEM 147.195312 1614531056.9786
MEM 147.195312 1614531057.0789
MEM 148.226562 1614531057.1793
MEM 149.257812 1614531057.2796
MEM 150.546875 1614531057.3799
MEM 151.578125 1614531057.4802
MEM 151.578125 1614531057.5806
MEM 152.609375 1614531057.6810
MEM 153.898438 1614531057.7813
MEM 154.929688 1614531057.8816
MEM 154.929688 1614531057.9820
MEM 156.218750 1614531058.0823
MEM 157.250000 1614531058.1826
MEM 159.312500 1614531058.2830
MEM 159.312500 1614531058.3834
MEM 160.859375 1614531058.4837
MEM 162.148438 1614531058.5840
MEM 163.179688 1614531058.6844
MEM 164.468750 1614531058.7847
MEM 165.500000 1614531058.8850
MEM 165.757812 1614531058.9853
MEM 166.789062 1614531059.0857
MEM 168.078125 1614531059.1860
MEM 169.367188 1614531059.2864
MEM 169.367188 1614531059.3870
MEM 170.914062 1614531059.4874
MEM 171.429688 1614531059.5877
MEM 172.976562 1614531059.6880
MEM 173.750000 1614531059.7884
MEM 175.296875 1614531059.8887
MEM 176.328125 1614531059.9891
MEM 177.359375 1614531060.0894
MEM 178.132812 1614531060.1897
MEM 178.906250 1614531060.2900
MEM 179.937500 1614531060.3903
MEM 181.226562 1614531060.4907
MEM 182.773438 1614531060.5910
MEM 183.546875 1614531060.6914
MEM 184.835938 1614531060.7918
MEM 185.351562 1614531060.8921
MEM 186.640625 1614531060.9924
MEM 187.414062 1614531061.0928
MEM 188.703125 1614531061.1932
MEM 189.992188 1614531061.2935
MEM 191.023438 1614531061.3938
MEM 191.796875 1614531061.4942
MEM 193.343750 1614531061.5946
MEM 194.375000 1614531061.6949
MEM 195.664062 1614531061.7953
MEM 196.695312 1614531061.8956
MEM 197.984375 1614531061.9960
MEM 199.015625 1614531062.0963
MEM 200.304688 1614531062.1966
MEM 201.335938 1614531062.2970
MEM 202.625000 1614531062.3974
MEM 203.984375 1614531062.4977
MEM 205.015625 1614531062.5980
MEM 206.304688 1614531062.6984
MEM 207.593750 1614531062.7987
MEM 208.367188 1614531062.8990
MEM 209.656250 1614531062.9994
MEM 210.945312 1614531063.0997
MEM 212.234375 1614531063.2000
MEM 213.265625 1614531063.3004
MEM 214.296875 1614531063.4007
MEM 215.843750 1614531063.5011
MEM 216.617188 1614531063.6014
MEM 217.906250 1614531063.7017
MEM 218.937500 1614531063.8021
MEM 220.226562 1614531063.9025
MEM 221.257812 1614531064.0029
MEM 222.546875 1614531064.1032
MEM 224.093750 1614531064.2036
MEM 224.867188 1614531064.3039
MEM 225.898438 1614531064.4043
MEM 227.187500 1614531064.5047
MEM 228.218750 1614531064.6051
MEM 229.507812 1614531064.7054
MEM 230.539062 1614531064.8058
MEM 232.343750 1614531064.9061
MEM 233.117188 1614531065.0065
MEM 234.148438 1614531065.1069
MEM 235.437500 1614531065.2072
MEM 236.726562 1614531065.3076
MEM 237.757812 1614531065.4079
MEM 239.046875 1614531065.5082
MEM 240.335938 1614531065.6085
MEM 240.851562 1614531065.7088
MEM 241.882812 1614531065.8091
MEM 242.398438 1614531065.9095
MEM 243.945312 1614531066.0098
MEM 244.976562 1614531066.1102
MEM 246.265625 1614531066.2105
MEM 247.039062 1614531066.3109
