CMDLINE python python/solution_dask.py
MEM 1.140625 1614118561.5268
MEM 10.406250 1614118561.6273
MEM 23.781250 1614118561.7277
MEM 34.636719 1614118561.8281
MEM 53.199219 1614118561.9284
MEM 60.125000 1614118562.0287
MEM 63.039062 1614118562.1291
MEM 74.160156 1614118562.2294
MEM 84.062500 1614118562.3297
MEM 86.382812 1614118562.4300
MEM 88.453125 1614118562.5304
MEM 88.476562 1614118562.6307
MEM 88.511719 1614118562.7310
MEM 88.511719 1614118562.8314
MEM 88.511719 1614118562.9317
MEM 88.511719 1614118563.0320
MEM 88.511719 1614118563.1323
MEM 88.511719 1614118563.2326
MEM 88.511719 1614118563.3330
MEM 88.511719 1614118563.4333
MEM 88.511719 1614118563.5336
MEM 88.511719 1614118563.6339
MEM 88.511719 1614118563.7343
MEM 88.511719 1614118563.8347
MEM 88.511719 1614118563.9354
MEM 88.511719 1614118564.0359
MEM 88.507812 1614118564.1363
MEM 88.468750 1614118564.2367
MEM 87.738281 1614118564.3370
MEM 87.738281 1614118564.4374
MEM 87.734375 1614118564.5379
MEM 87.730469 1614118564.6383
MEM 87.730469 1614118564.7386
MEM 87.714844 1614118564.8389
MEM 87.714844 1614118564.9394
MEM 105.125000 1614118565.0398
MEM 147.035156 1614118565.1401
MEM 174.425781 1614118565.2406
MEM 220.445312 1614118565.3409
MEM 252.785156 1614118565.4412
MEM 290.953125 1614118565.5415
MEM 331.902344 1614118565.6419
MEM 329.050781 1614118565.7423
MEM 328.593750 1614118565.8427
MEM 367.359375 1614118565.9431
MEM 360.039062 1614118566.0436
MEM 370.085938 1614118566.1440
MEM 393.531250 1614118566.2545
MEM 419.304688 1614118566.3549
MEM 431.675781 1614118566.4553
MEM 442.128906 1614118566.5556
MEM 488.750000 1614118566.6567
MEM 471.660156 1614118566.7571
MEM 504.136719 1614118566.8575
MEM 543.785156 1614118566.9579
MEM 520.496094 1614118567.0583
MEM 545.722656 1614118567.1587
MEM 553.402344 1614118567.2592
MEM 548.292969 1614118567.3596
MEM 576.906250 1614118567.4612
MEM 590.953125 1614118567.5618
MEM 596.621094 1614118567.6628
MEM 560.437500 1614118567.7632
MEM 574.359375 1614118567.8635
MEM 603.437500 1614118567.9643
MEM 636.953125 1614118568.0649
MEM 639.125000 1614118568.1654
MEM 672.644531 1614118568.2672
MEM 673.152344 1614118568.3676
MEM 717.003906 1614118568.4680
MEM 736.632812 1614118568.5684
MEM 694.621094 1614118568.6692
MEM 735.312500 1614118568.7696
MEM 742.019531 1614118568.8700
MEM 759.808594 1614118568.9703
MEM 784.437500 1614118569.0711
MEM 797.992188 1614118569.1716
MEM 816.878906 1614118569.2720
MEM 867.843750 1614118569.3724
MEM 820.316406 1614118569.4728
MEM 844.511719 1614118569.5732
MEM 866.460938 1614118569.6736
MEM 879.597656 1614118569.7739
MEM 894.703125 1614118569.8743
MEM 903.398438 1614118569.9746
MEM 927.421875 1614118570.0750
MEM 952.636719 1614118570.1772
MEM 978.367188 1614118570.2776
MEM 994.605469 1614118570.3806
MEM 1020.285156 1614118570.4810
MEM 1028.015625 1614118570.5814
MEM 1054.968750 1614118570.6823
MEM 1061.414062 1614118570.7827
MEM 1061.140625 1614118570.8832
MEM 1094.847656 1614118570.9861
MEM 1096.566406 1614118571.0866
MEM 1106.089844 1614118571.1869
MEM 1120.261719 1614118571.2874
MEM 1140.113281 1614118571.3879
MEM 1160.265625 1614118571.4883
MEM 1182.953125 1614118571.5954
MEM 1193.000000 1614118571.6958
MEM 1197.894531 1614118571.7974
MEM 1183.042969 1614118571.8978
MEM 1183.042969 1614118571.9982
MEM 1210.589844 1614118572.0991
MEM 1253.878906 1614118572.1996
MEM 1259.160156 1614118572.2999
MEM 1303.718750 1614118572.4004
MEM 1285.839844 1614118572.5017
MEM 1309.816406 1614118572.6020
MEM 1325.078125 1614118572.7024
MEM 1351.882812 1614118572.8029
MEM 1344.480469 1614118572.9037
MEM 1358.140625 1614118573.0042
MEM 1405.054688 1614118573.1047
MEM 1395.882812 1614118573.2051
MEM 1419.007812 1614118573.3055
MEM 1444.828125 1614118573.4059
MEM 1459.250000 1614118573.5063
MEM 1442.656250 1614118573.6067
MEM 1465.343750 1614118573.7073
MEM 1479.195312 1614118573.8076
MEM 1500.585938 1614118573.9080
MEM 1524.796875 1614118574.0084
MEM 1541.382812 1614118574.1089
MEM 1577.992188 1614118574.2099
MEM 1577.992188 1614118574.3104
MEM 1577.988281 1614118574.4191
MEM 1556.222656 1614118574.5200
MEM 1556.414062 1614118574.6204
MEM 1612.347656 1614118574.7208
MEM 1625.871094 1614118574.8212
MEM 1654.941406 1614118574.9217
MEM 1697.480469 1614118575.0222
MEM 1683.195312 1614118575.1225
MEM 1716.968750 1614118575.2230
MEM 1721.363281 1614118575.3233
MEM 1774.460938 1614118575.4237
MEM 1832.460938 1614118575.5240
MEM 1847.664062 1614118575.6244
MEM 1802.273438 1614118575.7248
MEM 1916.753906 1614118575.8252
MEM 1980.355469 1614118575.9255
MEM 2067.230469 1614118576.0259
MEM 2157.183594 1614118576.1262
MEM 2248.691406 1614118576.2265
MEM 2342.519531 1614118576.3269
MEM 2436.023438 1614118576.4272
MEM 2544.949219 1614118576.5276
MEM 2654.906250 1614118576.6279
MEM 2766.281250 1614118576.7283
MEM 2865.796875 1614118576.8286
MEM 2618.656250 1614118576.9290
MEM 2475.351562 1614118577.0294
MEM 2594.617188 1614118577.1297
MEM 2594.875000 1614118577.2301
MEM 2687.929688 1614118577.3304
MEM 2796.789062 1614118577.4307
MEM 2913.449219 1614118577.5310
MEM 3023.921875 1614118577.6314
MEM 2791.613281 1614118577.7317
MEM 2791.613281 1614118577.8321
MEM 2677.031250 1614118577.9325
MEM 2677.031250 1614118578.0328
MEM 2725.363281 1614118578.1332
