CMDLINE python python/solution_loop.py
MEM 1.132812 1614526261.3227
MEM 9.804688 1614526261.4231
MEM 10.058594 1614526261.5234
MEM 10.308594 1614526261.6238
MEM 10.308594 1614526261.7241
MEM 10.308594 1614526261.8243
MEM 10.703125 1614526261.9247
MEM 10.703125 1614526262.0250
MEM 10.703125 1614526262.1254
MEM 10.703125 1614526262.2257
MEM 10.703125 1614526262.3260
MEM 10.933594 1614526262.4263
MEM 10.933594 1614526262.5267
MEM 10.933594 1614526262.6270
MEM 10.933594 1614526262.7273
MEM 10.933594 1614526262.8276
MEM 11.476562 1614526262.9279
MEM 11.476562 1614526263.0283
MEM 11.476562 1614526263.1286
MEM 11.476562 1614526263.2290
MEM 11.476562 1614526263.3293
MEM 11.714844 1614526263.4296
MEM 11.714844 1614526263.5299
MEM 11.714844 1614526263.6303
MEM 11.714844 1614526263.7306
MEM 11.714844 1614526263.8309
MEM 11.964844 1614526263.9312
MEM 11.964844 1614526264.0315
MEM 11.964844 1614526264.1318
MEM 11.964844 1614526264.2321
MEM 11.964844 1614526264.3324
MEM 11.964844 1614526264.4327
MEM 12.214844 1614526264.5331
MEM 12.214844 1614526264.6334
MEM 12.214844 1614526264.7337
MEM 12.214844 1614526264.8340
MEM 12.214844 1614526264.9343
MEM 13.152344 1614526265.0347
MEM 13.152344 1614526265.1350
MEM 13.152344 1614526265.2354
MEM 13.152344 1614526265.3357
MEM 13.152344 1614526265.4360
MEM 13.402344 1614526265.5363
MEM 13.402344 1614526265.6366
MEM 13.402344 1614526265.7369
MEM 13.402344 1614526265.8373
MEM 13.402344 1614526265.9376
MEM 13.652344 1614526266.0379
MEM 13.652344 1614526266.1382
MEM 13.652344 1614526266.2386
MEM 13.652344 1614526266.3389
MEM 13.652344 1614526266.4393
MEM 13.652344 1614526266.5396
MEM 13.902344 1614526266.6400
MEM 13.902344 1614526266.7402
MEM 13.902344 1614526266.8405
MEM 13.902344 1614526266.9409
MEM 13.902344 1614526267.0412
MEM 14.152344 1614526267.1415
MEM 14.152344 1614526267.2418
MEM 14.152344 1614526267.3421
MEM 14.152344 1614526267.4424
MEM 14.402344 1614526267.5427
MEM 14.402344 1614526267.6430
MEM 14.402344 1614526267.7433
MEM 14.402344 1614526267.8436
MEM 14.402344 1614526267.9439
MEM 14.652344 1614526268.0442
MEM 14.652344 1614526268.1446
MEM 14.652344 1614526268.2449
MEM 14.902344 1614526268.3452
MEM 14.902344 1614526268.4455
MEM 16.324219 1614526268.5458
MEM 16.402344 1614526268.6461
MEM 16.402344 1614526268.7464
MEM 16.402344 1614526268.8467
MEM 16.652344 1614526268.9470
MEM 16.652344 1614526269.0473
MEM 16.652344 1614526269.1476
MEM 16.652344 1614526269.2479
MEM 16.902344 1614526269.3482
MEM 16.902344 1614526269.4485
MEM 16.902344 1614526269.5489
MEM 17.152344 1614526269.6492
MEM 17.152344 1614526269.7496
MEM 17.152344 1614526269.8499
MEM 17.402344 1614526269.9502
MEM 17.402344 1614526270.0506
MEM 17.402344 1614526270.1509
MEM 17.652344 1614526270.2512
MEM 17.652344 1614526270.3516
MEM 17.652344 1614526270.4519
MEM 17.652344 1614526270.5523
MEM 17.902344 1614526270.6526
MEM 17.902344 1614526270.7529
MEM 17.902344 1614526270.8533
MEM 17.902344 1614526270.9536
MEM 18.152344 1614526271.0540
MEM 18.152344 1614526271.1543
MEM 18.152344 1614526271.2546
MEM 18.152344 1614526271.3550
MEM 18.152344 1614526271.4553
MEM 18.152344 1614526271.5557
