CMDLINE python python/solution_pandas.py
MEM 1.101562 1614116215.5649
MEM 9.910156 1614116215.6661
MEM 16.554688 1614116215.7666
MEM 27.199219 1614116215.8669
MEM 31.437500 1614116215.9673
MEM 42.757812 1614116216.0676
MEM 47.328125 1614116216.1680
MEM 56.179688 1614116216.2683
MEM 61.730469 1614116216.3687
MEM 71.449219 1614116216.4689
MEM 80.828125 1614116216.5693
MEM 89.113281 1614116216.6697
MEM 97.664062 1614116216.7700
MEM 106.742188 1614116216.8703
MEM 115.585938 1614116216.9706
MEM 124.937500 1614116217.0709
MEM 131.597656 1614116217.1713
MEM 138.062500 1614116217.2716
MEM 147.343750 1614116217.3719
MEM 156.683594 1614116217.4723
MEM 166.007812 1614116217.5726
MEM 175.460938 1614116217.6729
MEM 184.425781 1614116217.7733
MEM 194.097656 1614116217.8736
MEM 203.347656 1614116217.9740
MEM 211.695312 1614116218.0743
MEM 215.785156 1614116218.1748
MEM 220.617188 1614116218.2751
MEM 230.113281 1614116218.3754
MEM 239.519531 1614116218.4757
MEM 248.910156 1614116218.5761
MEM 258.449219 1614116218.6764
MEM 267.980469 1614116218.7768
MEM 277.207031 1614116218.8771
MEM 286.148438 1614116218.9774
MEM 295.136719 1614116219.0778
MEM 301.375000 1614116219.1781
MEM 301.890625 1614116219.2785
MEM 309.156250 1614116219.3788
MEM 316.871094 1614116219.4792
MEM 324.324219 1614116219.5795
MEM 332.285156 1614116219.6798
MEM 338.699219 1614116219.7802
MEM 342.011719 1614116219.8806
MEM 348.183594 1614116219.9810
MEM 354.539062 1614116220.0813
MEM 361.476562 1614116220.1816
MEM 367.644531 1614116220.2819
MEM 373.574219 1614116220.3823
MEM 380.242188 1614116220.4826
MEM 387.441406 1614116220.5830
MEM 387.441406 1614116220.6834
MEM 389.503906 1614116220.7838
MEM 397.484375 1614116220.8842
MEM 406.843750 1614116220.9845
MEM 416.488281 1614116221.0849
MEM 424.679688 1614116221.1853
MEM 433.929688 1614116221.2856
MEM 443.453125 1614116221.3860
MEM 453.207031 1614116221.4864
MEM 462.472656 1614116221.5868
MEM 471.968750 1614116221.6871
MEM 480.730469 1614116221.7875
MEM 488.949219 1614116221.8878
MEM 488.949219 1614116221.9882
MEM 488.949219 1614116222.0886
MEM 495.347656 1614116222.1890
MEM 504.847656 1614116222.2893
MEM 513.898438 1614116222.3897
MEM 520.332031 1614116222.4901
MEM 527.285156 1614116222.5904
MEM 532.980469 1614116222.6907
MEM 541.250000 1614116222.7910
MEM 550.781250 1614116222.8914
MEM 560.074219 1614116222.9917
MEM 569.742188 1614116223.0920
MEM 579.058594 1614116223.1924
MEM 588.617188 1614116223.2927
MEM 598.167969 1614116223.3931
MEM 607.417969 1614116223.4934
MEM 614.105469 1614116223.5938
MEM 614.105469 1614116223.6943
MEM 614.105469 1614116223.7947
MEM 616.152344 1614116223.8951
MEM 624.949219 1614116223.9954
MEM 634.718750 1614116224.0958
