CMDLINE python python/solution_pandas_few_cols.py
MEM 1.140625 1614118210.2328
MEM 19.496094 1614118210.3332
MEM 42.472656 1614118210.4335
MEM 55.011719 1614118210.5343
MEM 66.464844 1614118210.6346
MEM 88.339844 1614118210.7349
MEM 89.628906 1614118210.8352
MEM 89.628906 1614118210.9356
MEM 90.660156 1614118211.0359
MEM 92.207031 1614118211.1364
MEM 93.496094 1614118211.2368
MEM 94.527344 1614118211.3371
MEM 95.816406 1614118211.4374
MEM 96.847656 1614118211.5378
MEM 98.136719 1614118211.6381
MEM 99.425781 1614118211.7385
MEM 100.457031 1614118211.8390
MEM 101.746094 1614118211.9394
MEM 103.292969 1614118212.0397
MEM 104.839844 1614118212.1401
MEM 105.871094 1614118212.2404
MEM 107.160156 1614118212.3408
MEM 108.449219 1614118212.4411
MEM 109.480469 1614118212.5415
MEM 111.027344 1614118212.6418
MEM 111.027344 1614118212.7425
MEM 112.316406 1614118212.8429
MEM 113.347656 1614118212.9433
MEM 114.121094 1614118213.0436
MEM 114.894531 1614118213.1444
MEM 114.894531 1614118213.2453
MEM 116.699219 1614118213.3456
MEM 117.214844 1614118213.4462
MEM 118.246094 1614118213.5466
MEM 119.535156 1614118213.6470
MEM 119.535156 1614118213.7474
MEM 120.566406 1614118213.8480
MEM 120.566406 1614118213.9490
MEM 121.855469 1614118214.0495
MEM 122.886719 1614118214.1499
MEM 124.175781 1614118214.2502
MEM 125.464844 1614118214.3506
MEM 126.496094 1614118214.4509
MEM 127.785156 1614118214.5512
MEM 129.074219 1614118214.6516
MEM 130.105469 1614118214.7519
MEM 131.394531 1614118214.8523
MEM 132.425781 1614118214.9526
MEM 133.714844 1614118215.0530
MEM 134.746094 1614118215.1535
MEM 135.777344 1614118215.2539
MEM 137.066406 1614118215.3543
MEM 137.839844 1614118215.4546
MEM 138.097656 1614118215.5549
MEM 139.128906 1614118215.6553
MEM 140.417969 1614118215.7557
MEM 141.449219 1614118215.8560
MEM 142.480469 1614118215.9566
MEM 143.511719 1614118216.0570
MEM 144.800781 1614118216.1574
MEM 145.832031 1614118216.2577
MEM 146.863281 1614118216.3581
MEM 148.152344 1614118216.4585
MEM 149.183594 1614118216.5589
MEM 150.472656 1614118216.6592
MEM 151.503906 1614118216.7597
MEM 152.535156 1614118216.8600
MEM 153.050781 1614118216.9604
MEM 153.824219 1614118217.0608
MEM 154.855469 1614118217.1610
MEM 156.144531 1614118217.2614
MEM 157.175781 1614118217.3618
MEM 157.175781 1614118217.4626
MEM 158.980469 1614118217.5629
MEM 158.980469 1614118217.6633
MEM 160.527344 1614118217.7636
MEM 161.816406 1614118217.8639
